2024-01-12 00:00:00,"BUDDY- ROHAN, RYAN.   JOSIAH-DERICK.",HOMESTARS REVIEW,SCHED/PPRWK NOTES DO NOT INTERFERE,Unnamed: 4
"ROHAN, JOSIAH",SYNC LEAD EMELIA,IF HAPPY WITH SERVICE,EM,PA
COROLLA,CONTACT EMELIA,PARKER ONLY,,
"BOEM ASSESS TIMING TO BE AT JOB FOR 8:00AM. INFORM EMELIA OF SYNC UP TIME, SHE WILL BE JOINING","GET HARNESSES FROM WINDOW VAN, 2 FIVE SECTION POLES.",,,
,,,,
COMPANY:,DEDICATED (CCC),,,tp
TIME:,JAN 12TH 8:00:00 AM,,,invoices received
ADDRESS:,"111 CANAM CRES, PLANET FORD AND 105 VAN KIRK DRIVE, HEADOFFICE OF DEALERSHIP COMPANIES.",,,
"JOB/TASK, PRICE:",INTERIOR OFFICE WINDOW CLEANING AND SOME LIFT WORK PLANET FORD- $550            HQ - $450,,,
JOB NOTES:,COREY WILL MEET YOU THERE,,,
CLIENT:,COREY 416-705-2679,,,
COMP STATUS:, COMPLETED BOTH DEALERSHIPS,,,
HOURS:,8 HRS,,,
CREW NOTES:,,,,
CONTRACTOR NOTES:,,,,
PICTURES SUBMITTED:,,,,
